12	6	E	-4.29323182585187E8	50
emissionprobs	8	4	H3K4me3	1	0.005645289870840888
emissionprobs	8	5	H3K9me3	0	0.9983898246049431
emissionprobs	8	5	H3K9me3	1	0.001610175395056853
emissionprobs	9	0	H3K27ac	0	0.18769131287089147
emissionprobs	9	0	H3K27ac	1	0.8123086871291084
emissionprobs	9	1	H3K27me3	0	0.9997724720891354
emissionprobs	9	1	H3K27me3	1	2.275279108646761E-4
emissionprobs	9	2	H3K36me3	0	0.9875324747160109
emissionprobs	9	2	H3K36me3	1	0.012467525283989145
emissionprobs	9	3	H3K4me1	0	0.1922039818823238
emissionprobs	9	3	H3K4me1	1	0.8077960181176762
emissionprobs	9	4	H3K4me3	0	0.9608507815746783
emissionprobs	9	4	H3K4me3	1	0.03914921842532168
emissionprobs	9	5	H3K9me3	0	0.9961073139373237
emissionprobs	9	5	H3K9me3	1	0.0038926860626763093
emissionprobs	10	0	H3K27ac	0	0.11020582279882411
emissionprobs	10	0	H3K27ac	1	0.8897941772011759
emissionprobs	10	1	H3K27me3	0	0.9971996750468218
emissionprobs	10	1	H3K27me3	1	0.002800324953178207
emissionprobs	10	2	H3K36me3	0	0.9197852182938789
emissionprobs	10	2	H3K36me3	1	0.080214781706121
emissionprobs	10	3	H3K4me1	0	0.02688035269822448
emissionprobs	10	3	H3K4me1	1	0.9731196473017755
emissionprobs	10	4	H3K4me3	0	0.02985859255909453
emissionprobs	10	4	H3K4me3	1	0.9701414074409055
emissionprobs	10	5	H3K9me3	0	0.9986529247174486
emissionprobs	10	5	H3K9me3	1	0.001347075282551367
emissionprobs	11	0	H3K27ac	0	0.9239099778376773
emissionprobs	11	0	H3K27ac	1	0.07609002216232279
emissionprobs	11	1	H3K27me3	0	0.9856965333173329
emissionprobs	11	1	H3K27me3	1	0.014303466682667075
emissionprobs	11	2	H3K36me3	0	0.9945933407396748
emissionprobs	11	2	H3K36me3	1	0.005406659260325368
emissionprobs	11	3	H3K4me1	0	0.5069270880612999
emissionprobs	11	3	H3K4me1	1	0.4930729119387001
emissionprobs	11	4	H3K4me3	0	0.09644790207198976
emissionprobs	11	4	H3K4me3	1	0.9035520979280103
emissionprobs	11	5	H3K9me3	0	0.9989379706558836
emissionprobs	11	5	H3K9me3	1	0.0010620293441162703
emissionprobs	12	0	H3K27ac	0	0.06427901441036447
emissionprobs	12	0	H3K27ac	1	0.9357209855896356
emissionprobs	12	1	H3K27me3	0	0.9986235023543862
emissionprobs	12	1	H3K27me3	1	0.0013764976456138289
emissionprobs	12	2	H3K36me3	0	0.9713754535801289
emissionprobs	12	2	H3K36me3	1	0.028624546419871076
emissionprobs	12	3	H3K4me1	0	0.9746630463046334
emissionprobs	12	3	H3K4me1	1	0.025336953695366555
emissionprobs	12	4	H3K4me3	0	0.021616514102530626
emissionprobs	12	4	H3K4me3	1	0.9783834858974695
emissionprobs	12	5	H3K9me3	0	0.9942160473171884
emissionprobs	12	5	H3K9me3	1	0.005783952682811563
